id_estacion;id_carburante;precio_carburante 
51;1;1,499
51;3;1,539
51;6;1,449
51;7;1,509
52;1;1,359
52;6;1,299
53;1;1,559
53;4;1,699
53;6;1,439
53;7;1,519
54;1;1,549
54;4;1,669
54;6;1,449
54;7;1,509
54;13;0,949
55;1;1,574
55;3;1,614
55;6;1,517
55;7;1,577
56;6;1,339
57;1;1,574
57;3;1,624
57;6;1,517
57;7;1,577
58;1;1,554
58;6;1,484
58;7;1,554
59;1;1,419
59;6;1,339
59;8;1,079
60;1;1,569
60;4;1,619
60;6;1,429
60;7;1,529
61;1;1,359
61;6;1,299
62;1;1,395
62;6;1,315
62;8;0,941
63;1;1,569
63;6;1,469
63;8;1,179
64;6;1,294
64;8;0,923
65;1;1,569
65;6;1,469
65;8;1,179
66;1;1,464
66;6;1,364
67;1;1,529
67;4;1,689
67;6;1,469
67;7;1,529
68;1;1,529
68;4;1,679
68;6;1,469
68;7;1,519
69;1;1,499
69;4;1,619
69;6;1,449
69;7;1,519
69;8;1,173
70;1;1,579
70;6;1,459
70;8;0,909
71;8;0,973
72;8;1,1
73;1;1,589
73;4;1,719
73;6;1,479
73;7;1,539
73;8;1,189
74;1;1,519
74;6;1,369
74;8;1,039
75;1;1,529
75;4;1,689
75;6;1,469
75;7;1,529
75;8;1,119
76;15;1,239
77;1;1,579
77;4;1,729
77;6;1,459
77;7;1,549
78;1;1,589
78;4;1,749
78;6;1,45
78;7;1,559
79;1;1,399
79;6;1,32
79;8;0,935
80;1;1,529
80;6;1,469
80;7;1,529
81;1;1,539
81;4;1,659
81;6;1,479
81;7;1,539
82;1;1,529
82;4;1,689
82;6;1,469
82;7;1,529
82;13;0,939
83;1;1,499
83;3;1,529
83;6;1,499
84;1;1,579
84;4;1,719
84;6;1,479
84;7;1,579
85;1;1,44
85;6;1,439
86;1;1,499
86;4;1,659
86;6;1,499
86;8;1,181
87;6;1,26
87;8;0,88
88;1;1,659
88;4;1,82
88;6;1,499
88;8;1,099
89;1;1,469
89;6;1,349
89;8;0,979
90;1;1,529
90;4;1,649
90;6;1,459
90;7;1,519
91;1;1,549
91;3;1,579
91;4;1,709
91;6;1,479
92;1;1,505
92;4;1,651
92;6;1,445
92;7;1,539
93;1;1,397
93;6;1,337
94;1;1,519
94;4;1,639
94;6;1,489
94;7;1,589
94;13;0,999
95;1;1,398
95;6;1,338
96;1;1,634
96;4;1,694
96;6;1,502
96;7;1,598
97;1;1,499
97;4;1,619
97;6;1,459
98;6;1,509
99;1;1,499
99;4;1,619
99;6;1,449
100;1;1,499
100;4;1,619
100;6;1,469
100;7;1,549
101;1;1,419
101;6;1,339
102;1;1,549
102;4;1,679
102;6;1,479
102;7;1,549
103;1;1,499
103;4;1,619
103;6;1,469
104;1;1,499
104;4;1,619
104;6;1,449
104;8;1,182
105;1;1,377
105;6;1,313
105;8;0,909
106;1;1,529
106;4;1,689
106;6;1,469
106;7;1,529
107;1;1,547
107;6;1,447
107;8;1,217
108;1;1,549
108;6;1,449
109;1;1,479
109;6;1,389
110;6;1,273
110;8;0,876
111;1;1,499
111;6;1,469
111;7;1,549
111;8;1,108
112;6;1,34
112;8;0,92
113;1;1,549
113;4;1,679
113;6;1,459
113;7;1,529
113;8;1,109
114;6;1,269
114;8;0,909
115;1;1,539
115;6;1,459
116;1;1,519
116;6;1,399
116;8;1,06
117;1;1,479
117;6;1,369
117;7;1,419
118;6;1,292
118;8;0,884
119;1;1,499
119;4;1,619
119;6;1,449
119;8;1,205
120;1;1,499
120;3;1,529
120;6;1,449
120;8;1,182
121;6;1,359
121;8;1,082
122;1;1,499
122;3;1,539
122;6;1,449
122;7;1,509
123;1;1,509
123;6;1,369
124;1;1,519
124;6;1,429
125;6;1,539
126;6;1,22
127;1;1,629
127;6;1,559
127;8;1,419
128;1;1,389
128;6;1,309
129;6;1,345
129;8;0,909
130;1;1,579
130;4;1,719
130;6;1,479
130;8;1,489
131;1;1,559
131;3;1,629
131;6;1,499
131;7;1,569
132;1;1,399
132;6;1,299
133;1;1,449
133;6;1,289
134;6;1,275
134;8;0,899
135;14;1,299
135;15;1,239
136;1;1,539
136;4;1,699
136;6;1,489
136;7;1,549
137;1;1,559
137;6;1,479
137;7;1,569
138;6;1,25
139;1;1,544
139;4;1,676
139;6;1,547
139;7;1,607
140;1;1,549
140;4;1,699
140;6;1,479
140;7;1,529
141;1;1,589
141;4;1,719
141;6;1,499
141;7;1,589
142;1;1,589
142;4;1,719
142;6;1,499
142;7;1,589
143;1;1,549
143;4;1,709
143;6;1,499
143;7;1,559
144;1;1,589
144;4;1,699
144;6;1,459
144;8;1,279
145;1;1,379
145;6;1,324
146;1;1,331
146;6;1,274
146;8;0,876
147;1;1,499
147;3;1,539
147;6;1,449
147;7;1,539
148;6;1,29
148;8;1,05
149;1;1,539
149;4;1,679
149;6;1,489
149;7;1,569
149;8;1,169
150;1;1,379
150;6;1,299
151;1;1,459
151;3;1,589
151;6;1,379
151;7;1,429
152;1;1,448
152;6;1,369
152;8;0,963
153;8;0,909
154;1;1,429
154;6;1,339
155;6;1,295
155;8;0,923
156;1;1,389
156;6;1,299
157;1;1,499
157;4;1,609
157;6;1,489
157;7;1,579
157;8;1,11
158;1;1,539
158;4;1,769
158;6;1,449
158;7;1,519
158;8;1,199
159;1;1,357
159;6;1,279
159;8;0,903
160;1;1,379
160;6;1,339
160;8;1,089
161;1;1,509
161;4;1,619
161;6;1,449
161;7;1,539
161;8;1,089
162;1;1,544
162;4;1,671
162;6;1,459
162;7;1,566
162;8;1,169
163;1;1,519
163;3;1,559
163;6;1,459
163;7;1,53
163;8;1,089
164;15;1,235
165;1;1,499
165;4;1,579
165;6;1,429
165;7;1,469
166;6;1,489
167;1;1,529
167;4;1,671
167;6;1,469
167;7;1,559
168;1;1,379
168;6;1,315
169;1;1,644
169;6;1,538
169;7;1,598
170;1;1,574
170;3;1,584
170;6;1,492
170;7;1,599
171;1;1,519
171;4;1,649
171;6;1,459
171;7;1,539
172;1;1,499
172;4;1,619
172;6;1,449
172;7;1,509
172;8;1,132
173;1;1,429
173;6;1,349
173;7;1,379
174;1;1,368
174;6;1,269
174;8;0,89
175;1;1,499
175;4;1,619
175;6;1,439
175;7;1,519
176;1;1,499
176;4;1,619
176;6;1,449
176;7;1,509
177;1;1,544
177;6;1,469
177;7;1,555
178;1;1,589
178;6;1,449
178;7;1,529
178;8;1,229
179;1;1,579
179;4;1,769
179;6;1,439
179;7;1,519
179;8;1,269
180;1;1,574
180;4;1,694
180;6;1,464
180;7;1,534
181;1;1,574
181;4;1,694
181;6;1,464
181;7;1,554
182;1;1,589
182;4;1,709
182;6;1,459
182;7;1,559
182;8;1,261
182;14;1,309
182;15;1,229
183;1;1,589
183;6;1,459
183;7;1,529
183;8;1,249
184;1;1,589
184;4;1,699
184;6;1,459
184;7;1,529
185;1;1,479
185;6;1,369
185;7;1,439
186;1;1,499
186;6;1,389
186;7;1,459
187;1;1,629
187;6;1,439
187;7;1,639
188;1;1,409
188;4;1,549
188;6;1,309
188;7;1,389
189;1;1,339
189;6;1,249
189;7;1,259
190;1;1,339
190;6;1,249
191;1;1,399
191;6;1,299
191;13;0,9
192;1;1,419
192;4;1,579
192;6;1,309
192;7;1,399
193;1;1,569
193;3;1,619
193;4;1,729
193;6;1,429
193;7;1,529
194;1;1,339
194;6;1,249
195;1;1,585
195;4;1,725
195;6;1,429
195;7;1,509
196;1;1,569
196;4;1,729
196;6;1,429
196;7;1,529
196;13;0,979
197;1;1,334
197;6;1,244
198;1;1,619
198;4;1,779
198;6;1,439
198;7;1,539
199;1;1,407
199;6;1,289
200;1;1,639
200;4;1,781
200;6;1,449
200;7;1,539
201;1;1,409
201;6;1,299
202;1;1,407
202;6;1,289
203;1;1,549
203;4;1,679
203;6;1,409
203;7;1,479
204;1;1,599
204;4;1,741
204;6;1,439
204;7;1,529
205;1;1,579
205;6;1,429
205;7;1,569
205;8;1,229
206;1;1,599
206;4;1,741
206;6;1,439
206;7;1,529
207;1;1,569
207;6;1,429
208;1;1,599
208;4;1,741
208;6;1,439
208;7;1,529
209;1;1,419
209;6;1,316
210;1;1,549
210;4;1,689
210;6;1,399
210;7;1,479
210;13;0,959
211;1;1,579
211;4;1,739
211;6;1,429
211;7;1,529
212;1;1,589
212;4;1,749
212;6;1,439
212;7;1,539
212;13;0,989
213;1;1,379
213;6;1,259
214;1;1,579
214;4;1,739
214;6;1,429
214;7;1,529
215;1;1,419
215;6;1,289
216;1;1,599
216;4;1,739
216;6;1,439
216;7;1,529
217;1;1,617
217;6;1,456
217;7;1,555
218;1;1,604
218;3;1,666
218;6;1,467
218;7;1,547
219;1;1,599
219;4;1,749
219;6;1,439
219;7;1,529
220;1;1,599
220;4;1,741
220;6;1,439
220;7;1,529
221;1;1,427
221;6;1,317
222;1;1,427
222;6;1,317
223;1;1,568
223;4;1,718
223;6;1,418
223;7;1,488
223;13;0,958
224;1;1,599
224;4;1,739
224;6;1,439
224;7;1,519
224;13;0,989
225;1;1,579
225;4;1,739
225;6;1,429
225;7;1,519
226;1;1,419
226;6;1,316
227;1;1,419
227;6;1,289
228;1;1,419
228;6;1,289
229;1;1,599
229;4;1,741
229;6;1,439
229;7;1,529
230;1;1,589
230;4;1,719
230;6;1,439
230;7;1,509
231;1;1,604
231;3;1,666
231;6;1,467
231;7;1,547
232;1;1,558
232;4;1,709
232;6;1,429
232;7;1,529
233;1;1,399
233;6;1,257
234;1;1,589
234;4;1,749
234;6;1,439
234;7;1,499
235;1;1,589
235;4;1,749
235;6;1,439
235;7;1,499
235;13;0,989
236;1;1,619
236;6;1,499
236;7;1,559
237;1;1,568
237;4;1,708
237;6;1,418
237;7;1,488
237;8;1,168
238;1;1,579
238;4;1,719
238;6;1,429
238;7;1,509
238;13;0,959
239;1;1,569
239;4;1,719
239;6;1,419
239;7;1,509
240;1;1,469
240;4;1,649
240;6;1,369
240;12;1,349
241;6;1,38
242;1;1,609
242;3;1,669
242;6;1,46
242;7;1,552
243;1;1,399
243;6;1,257
244;1;1,604
244;3;1,666
244;6;1,472
244;7;1,547
245;1;1,559
245;6;1,419
245;7;1,459
246;1;1,568
246;4;1,708
246;6;1,418
246;7;1,488
246;13;0,958
247;1;1,569
247;4;1,719
247;6;1,419
247;7;1,509
248;1;1,569
248;4;1,719
248;6;1,419
248;7;1,509
249;1;1,609
249;3;1,709
249;6;1,497
249;7;1,558
249;8;1,169
250;1;1,569
250;4;1,669
250;6;1,439
250;7;1,499
251;1;1,589
251;4;1,699
251;6;1,449
251;7;1,529
252;1;1,549
252;4;1,999
252;6;1,389
252;7;1,439
253;8;1,15
254;1;1,557
254;6;1,427
255;1;1,574
255;6;1,426
256;1;1,399
256;3;1,479
256;6;1,279
256;7;1,349
257;1;1,395
257;6;1,275
258;1;1,429
258;4;1,609
258;6;1,309
258;7;1,379
258;8;1,079
259;1;1,629
259;3;1,684
259;6;1,482
259;7;1,568
259;8;1,092
260;1;1,609
260;4;1,751
260;6;1,459
260;7;1,549
261;1;1,619
261;4;1,779
261;6;1,439
261;7;1,539
262;1;1,609
262;4;1,759
262;6;1,419
262;7;1,509
263;1;1,407
263;6;1,289
264;1;1,619
264;4;1,779
264;6;1,439
264;7;1,539
265;1;1,629
265;4;1,789
265;6;1,449
265;7;1,549
266;1;1,648
266;4;1,789
266;6;1,449
266;7;1,539
267;1;1,359
267;3;1,359
267;6;1,299
267;7;1,299
267;13;0,918
268;1;1,399
268;6;1,299
269;1;1,368
269;4;1,648
269;6;1,293
269;7;1,459
270;1;1,569
270;4;1,719
270;6;1,449
270;7;1,539
270;8;1,189
271;1;1,574
271;4;1,706
271;6;1,455
271;7;1,521
272;1;1,569
272;6;1,449
272;7;1,519
273;1;1,589
273;4;1,759
273;6;1,439
273;7;1,549
274;1;1,354
274;6;1,294
275;1;1,359
275;6;1,299
276;1;1,585
276;6;1,449
276;7;1,509
277;1;1,479
277;6;1,399
277;8;1,079
278;1;1,459
278;6;1,379
279;1;1,579
279;4;1,639
279;6;1,449
279;7;1,539
279;8;1,189
280;1;1,639
280;4;1,781
280;6;1,449
280;7;1,539
281;1;1,539
281;4;1,679
281;6;1,379
281;7;1,449
282;1;1,629
282;3;1,679
282;4;1,789
282;6;1,449
282;7;1,549
282;13;0,989
283;1;1,639
283;4;1,781
283;6;1,449
283;7;1,539
284;1;1,539
284;4;1,679
284;6;1,379
284;7;1,449
285;1;1,639
285;4;1,781
285;6;1,449
285;7;1,539
286;1;1,419
286;6;1,259
287;1;1,432
287;6;1,272
288;1;1,639
288;4;1,781
288;6;1,449
288;7;1,539
289;1;1,499
289;6;1,299
290;1;1,519
290;6;1,287
291;1;1,459
291;6;1,265
291;7;1,285
292;1;1,519
292;6;1,289
293;1;1,477
293;6;1,297
294;1;1,629
294;4;1,771
294;6;1,429
294;7;1,519
295;1;1,559
295;6;1,299
295;13;1
296;1;1,629
296;4;1,779
296;6;1,395
296;7;1,505
296;13;1,059
297;1;1,569
297;4;1,719
297;6;1,369
297;13;0,979
298;1;1,585
298;4;1,699
298;6;1,465
298;7;1,515
298;8;1,239
299;1;1,397
299;6;1,307
300;1;1,407
300;6;1,317
301;1;1,559
301;4;1,709
301;6;1,459
301;7;1,549
302;1;1,559
302;6;1,409
303;1;1,589
303;6;1,459
303;7;1,559
304;1;1,569
304;4;1,699
304;6;1,439
304;7;1,499
305;1;1,459
305;6;1,349
305;7;1,379
306;1;1,579
306;4;1,721
306;6;1,459
306;7;1,549
307;1;1,634
307;4;1,784
307;6;1,459
307;7;1,569
307;8;1,199
308;1;1,399
308;6;1,319
308;7;1,419
309;1;1,619
309;4;1,769
309;6;1,429
309;7;1,509
310;1;1,469
310;4;1,689
310;6;1,369
310;7;1,419
311;1;1,592
311;4;1,769
311;6;1,381
312;1;1,409
312;4;1,639
312;6;1,319
312;7;1,409
313;1;1,379
313;4;1,699
313;6;1,299
313;7;1,369
314;1;1,389
314;6;1,289
315;1;1,389
315;6;1,289
316;1;1,569
316;4;1,709
316;6;1,419
316;7;1,479
316;13;0,989
317;1;1,579
317;4;1,729
317;6;1,429
317;7;1,489
318;1;1,449
318;6;1,319
319;1;1,589
319;6;1,449
319;7;1,499
320;1;1,579
320;4;1,729
320;6;1,429
320;7;1,519
321;1;1,569
321;4;1,709
321;6;1,419
321;7;1,479
322;1;1,589
322;3;1,729
322;6;1,449
322;7;1,529
323;6;1,381
323;8;1,201
324;1;1,589
324;4;1,709
324;6;1,435
324;7;1,535
325;1;1,499
325;6;1,339
325;13;1
326;1;1,459
326;6;1,329
327;1;1,595
327;3;1,645
327;4;1,699
327;6;1,449
327;7;1,529
327;8;1,239
328;1;1,419
328;6;1,289
329;1;1,519
329;4;1,589
329;6;1,419
329;7;1,499
329;8;1,069
330;1;1,377
330;6;1,299
331;1;1,369
331;6;1,259
332;1;1,344
332;6;1,309
333;1;1,359
333;6;1,239
334;1;1,359
334;6;1,239
335;1;1,569
335;4;1,729
335;6;1,419
335;7;1,519
336;1;1,569
336;4;1,729
336;6;1,429
336;7;1,529
337;1;1,519
337;4;1,689
337;6;1,389
337;7;1,429
338;1;1,409
338;4;1,549
338;6;1,344
338;7;1,434
339;1;1,569
339;4;1,699
339;6;1,439
339;7;1,539
340;1;1,549
340;6;1,389
341;1;1,579
341;4;1,721
341;6;1,459
341;7;1,549
342;1;1,599
342;4;1,741
342;6;1,459
342;7;1,549
343;1;1,589
343;3;1,619
343;4;1,709
343;6;1,459
343;7;1,559
343;13;0,979
344;14;1,299
344;15;1,239
345;1;1,54
345;7;1,449
346;1;1,579
346;4;1,699
346;6;1,449
346;7;1,539
346;8;1,261
347;1;1,579
347;4;1,699
347;6;1,449
347;7;1,539
348;1;1,589
348;4;1,689
348;6;1,449
348;7;1,529
348;8;1,439
349;1;1,599
349;4;1,699
349;6;1,459
349;7;1,539
350;1;1,589
350;4;1,689
350;6;1,469
350;7;1,539
350;13;0,979
351;1;1,589
351;4;1,689
351;6;1,449
351;7;1,529
352;1;1,445
352;6;1,259
353;1;1,357
353;6;1,207
354;1;1,579
354;4;1,729
354;6;1,369
354;7;1,449
355;1;1,629
355;3;1,669
355;4;1,789
355;6;1,429
356;1;1,429
356;4;1,609
356;6;1,349
356;7;1,419
357;1;1,397
357;6;1,267
358;1;1,397
358;6;1,297
358;13;0,969
359;3;1,619
359;4;1,759
359;6;1,369
359;7;1,439
360;1;1,619
360;4;1,789
360;6;1,419
360;7;1,529
361;1;1,579
361;6;1,369
362;1;1,619
362;6;1,419
363;1;1,589
363;4;1,739
363;6;1,459
363;7;1,549
364;1;1,599
364;4;1,731
364;6;1,462
364;7;1,568
364;8;1,092
365;1;1,519
365;4;1,589
365;6;1,419
365;7;1,499
365;8;1,069
366;1;1,468
366;4;1,717
366;6;1,355
366;7;1,527
367;1;1,569
367;3;1,609
367;4;1,729
367;6;1,449
367;7;1,539
368;1;1,579
368;4;1,719
368;6;1,429
368;7;1,519
369;1;1,559
369;4;1,699
369;6;1,439
369;7;1,519
370;1;1,389
370;6;1,249
371;1;1,455
371;6;1,279
372;1;1,548
372;4;1,715
372;6;1,423
372;7;1,523
373;1;1,567
373;4;1,727
373;6;1,447
373;7;1,537
374;1;1,565
374;4;1,715
374;6;1,444
374;7;1,444
375;1;1,569
375;4;1,719
375;6;1,449
375;7;1,529
376;1;1,445
376;6;1,259
377;1;1,445
377;6;1,269
377;7;1,279
378;1;1,44
378;6;1,265
379;1;1,445
379;6;1,269
380;1;1,445
380;6;1,265
380;7;1,315
381;1;1,579
381;4;1,737
381;6;1,467
381;7;1,557
382;1;1,579
382;4;1,739
382;6;1,459
382;7;1,549
383;1;1,514
383;6;1,419
384;1;1,539
384;4;1,699
384;6;1,379
384;7;1,419
385;1;1,445
385;6;1,269
386;1;1,579
386;3;1,619
386;4;1,739
386;6;1,449
386;7;1,539
386;13;0,979
387;1;1,589
387;4;1,729
387;6;1,449
387;7;1,519
388;1;1,569
388;4;1,719
388;6;1,449
388;7;1,529
389;1;1,445
389;6;1,269
390;1;1,445
390;6;1,269
391;1;1,445
391;6;1,269
392;1;1,445
392;4;1,565
392;6;1,265
392;7;1,315
393;1;1,579
393;4;1,739
393;6;1,459
393;7;1,559
394;1;1,559
394;4;1,699
394;6;1,439
394;7;1,519
394;13;0,929
395;1;1,549
395;4;1,689
395;6;1,429
395;7;1,499
396;1;1,599
396;4;1,719
396;6;1,469
396;7;1,559
397;1;1,569
397;4;1,719
397;6;1,469
397;7;1,559
398;1;1,579
398;4;1,709
398;6;1,479
398;7;1,549
398;8;1,209
399;1;1,594
399;4;1,714
399;6;1,464
399;7;1,554
400;6;1,469
400;8;1,209
401;1;1,559
401;4;1,699
401;6;1,449
401;7;1,529
402;1;1,639
402;4;1,769
402;6;1,479
402;7;1,549
403;1;1,599
403;4;1,729
403;6;1,449
403;7;1,519
404;1;1,569
404;4;1,729
404;6;1,409
404;7;1,499
405;1;1,559
405;6;1,415
405;7;1,481
405;8;1,079
406;1;1,579
406;4;1,721
406;6;1,459
406;7;1,549
407;1;1,579
407;4;1,739
407;6;1,459
407;7;1,549
408;1;1,569
408;6;1,419
408;7;1,509
408;8;1,254
409;1;1,589
409;4;1,739
409;6;1,459
409;7;1,539
409;8;1,239
410;1;1,584
410;3;1,664
410;6;1,477
410;7;1,557
411;1;1,679
411;6;1,599
412;1;1,524
412;4;1,651
412;6;1,428
412;7;1,537
412;13;0,879
413;1;1,319
413;6;1,219
414;1;1,569
414;3;1,599
414;4;1,689
414;6;1,419
414;7;1,479
415;1;1,499
415;6;1,299
416;1;1,569
416;4;1,689
416;6;1,419
416;7;1,479
417;1;1,319
417;6;1,219
418;1;1,519
418;4;1,659
418;6;1,419
418;7;1,499
419;1;1,399
419;4;1,519
419;6;1,269
419;7;1,369
420;1;1,629
420;4;1,789
420;6;1,439
420;7;1,539
421;1;1,619
421;4;1,779
421;6;1,429
421;7;1,529
422;1;1,359
422;6;1,259
423;1;1,599
423;4;1,749
423;6;1,399
423;7;1,439
424;1;1,379
424;6;1,259
425;1;1,649
425;3;1,739
425;6;1,439
425;7;1,559
426;1;1,598
426;4;1,749
426;6;1,398
426;7;1,489
427;1;1,599
427;4;1,741
427;6;1,439
427;7;1,529
428;1;1,399
428;3;1,479
428;6;1,279
428;7;1,349
429;1;1,609
429;6;1,419
429;7;1,519
430;1;1,459
430;6;1,309
431;1;1,489
431;6;1,349
432;1;1,529
432;6;1,399
432;7;1,469
433;1;1,405
433;6;1,215
434;1;1,589
434;4;1,729
434;6;1,449
434;7;1,539
434;13;1,009
435;1;1,569
435;4;1,729
435;6;1,409
435;13;0,989
436;1;1,599
436;3;1,659
436;6;1,459
436;7;1,539
436;8;1,199
437;1;1,569
437;4;1,729
437;6;1,409
437;7;1,499
438;1;1,589
438;4;1,729
438;6;1,449
438;7;1,539
438;13;1,009
439;1;1,405
439;6;1,215
440;1;1,599
440;3;1,689
440;6;1,452
440;7;1,517
441;1;1,569
441;6;1,449
441;7;1,519
441;8;1,189
442;1;1,519
442;6;1,389
442;7;1,389
443;1;1,599
443;4;1,741
443;6;1,449
443;7;1,549
444;1;1,559
444;4;1,68
444;6;1,399
444;8;1,25
445;1;1,589
445;4;1,749
445;6;1,439
445;7;1,539
446;1;1,546
446;6;1,366
446;7;1,416
447;1;1,614
447;3;1,665
447;6;1,487
447;7;1,562
448;1;1,569
448;6;1,449
448;7;1,549
448;8;1,169
449;1;1,594
449;6;1,467
449;7;1,527
449;8;1,159
450;1;1,609
450;4;1,769
450;6;1,409
450;7;1,509
451;1;1,566
451;3;1,644
451;6;1,432
451;7;1,542
452;1;1,609
452;3;1,649
452;4;1,769
452;6;1,409
452;7;1,509
452;13;0,979
453;1;1,619
453;4;1,769
453;6;1,409
453;7;1,479
454;1;1,459
454;6;1,309
455;1;1,619
455;4;1,769
455;6;1,419
455;7;1,519
456;1;1,499
456;6;1,329
457;1;1,469
457;6;1,349
458;1;1,619
458;4;1,779
458;6;1,409
458;7;1,509
459;1;1,619
459;4;1,779
459;6;1,409
459;7;1,509
460;1;1,619
460;3;1,699
460;6;1,469
460;7;1,539
461;1;1,589
461;6;1,439
461;7;1,549
461;8;1,269
462;1;1,619
462;6;1,469
462;7;1,539
463;1;1,599
463;4;1,741
463;6;1,449
463;7;1,539
464;6;1,41
464;8;1,199
465;1;1,569
465;4;1,689
465;6;1,429
465;7;1,479
465;8;1,202
466;1;1,499
466;6;1,299
466;7;1,339
467;1;1,509
467;4;1,589
467;6;1,269
467;7;1,349
468;1;1,409
468;6;1,275
469;1;1,589
469;4;1,739
469;6;1,449
469;7;1,539
469;8;1,249
470;1;1,579
470;3;1,639
470;4;1,711
470;6;1,467
470;7;1,549
470;8;1,169
471;1;1,579
471;3;1,639
471;4;1,711
471;6;1,467
471;7;1,549
471;8;1,169
472;1;1,399
472;6;1,289
473;1;1,569
473;3;1,639
473;6;1,459
473;7;1,529
474;1;1,559
474;4;1,689
474;6;1,419
474;7;1,509
475;1;1,595
475;3;1,645
475;4;1,715
475;6;1,445
475;7;1,515
476;1;1,599
476;4;1,741
476;6;1,439
476;7;1,529
477;1;1,599
477;4;1,741
477;6;1,439
477;7;1,529
478;1;1,589
478;4;1,721
478;6;1,479
478;7;1,562
478;8;1,169
479;1;1,589
479;4;1,721
479;6;1,479
479;7;1,562
479;8;1,169
480;1;1,589
480;6;1,439
480;7;1,549
481;1;1,399
481;6;1,299
482;1;1,588
482;4;1,751
482;6;1,438
482;7;1,549
483;1;1,569
483;4;1,719
483;6;1,449
483;7;1,529
484;1;1,589
484;4;1,759
484;6;1,439
484;7;1,549
485;1;1,354
485;6;1,299
486;1;1,427
486;6;1,307
487;1;1,639
487;4;1,781
487;6;1,449
487;7;1,539
488;1;1,569
488;4;1,699
488;6;1,394
488;7;1,464
489;1;1,619
489;3;1,659
489;4;1,779
489;6;1,439
489;7;1,539
490;1;1,357
490;6;1,207
491;1;1,599
491;6;1,399
491;7;1,439
492;1;1,357
492;6;1,207
493;1;1,629
493;4;1,789
493;6;1,419
493;7;1,519
494;1;1,438
494;6;1,308
495;1;1,608
495;4;1,751
495;6;1,449
495;7;1,538
496;1;1,549
496;4;1,709
496;6;1,399
496;8;1,159
497;1;1,604
497;4;1,746
497;6;1,445
497;7;1,511
497;8;1,152
498;1;1,519
498;4;1,589
498;6;1,419
498;7;1,499
498;8;1,069
499;1;1,604
499;3;1,674
499;6;1,445
499;7;1,511
500;1;1,589
500;6;1,469
500;7;1,569
501;1;1,589
501;4;1,709
501;6;1,459
501;7;1,559
501;13;0,989
502;1;1,397
502;6;1,307
503;1;1,599
503;4;1,741
503;6;1,439
503;7;1,529
504;1;1,549
504;4;1,599
504;6;1,378
504;7;1,398
505;1;1,679
505;6;1,449
505;7;1,509
505;8;1,199
506;1;1,529
506;4;1,689
506;6;1,389
506;8;1,149
507;1;1,569
507;6;1,429
507;7;1,529
508;1;1,459
508;3;1,519
508;6;1,299
508;7;1,359
509;1;1,439
509;3;1,439
509;6;1,309
509;7;1,309
510;1;1,499
510;6;1,369
510;7;1,429
510;8;1,219
511;1;1,629
511;4;1,769
